lf_005,,lf_011,,lf_020,
X,Y,X,Y,X,Y
0.7499999999999998,0.1034482758620685,0.47058823529411753,0.11330049261083808,0.06617647058823528,0.10837438423645285
0.8272058823529413,0.20197044334975356,0.5073529411764703,0.20197044334975356,0.19485294117647034,0.2068965517241379
0.8823529411764703,0.3103448275862064,0.5183823529411764,0.3103448275862064,0.2647058823529409,0.31527093596059075
0.9448529411764708,0.40886699507389146,0.5845588235294115,0.40886699507389146,0.31985294117647056,0.40394088669950756
0.9999999999999998,0.5123152709359604,0.6360294117647058,0.49753694581280783,0.41176470588235303,0.5024630541871926
1.036764705882353,0.5960591133004924,0.6691176470588236,0.5911330049261085,0.4374999999999998,0.6009852216748768
1.1323529411764708,0.7931034482758621,0.7941176470588236,0.8029556650246303,0.6286764705882353,0.8078817733990147
1.3860294117647058,1,1.154411764705882,1.0098522167487682,1.0073529411764708,0.9901477832512313
1.5220588235294115,1.2019704433497536,1.404411764705882,1.1921182266009853,1.2573529411764703,1.206896551724138
1.6544117647058825,1.4088669950738915,1.5036764705882353,1.4039408866995076,1.4338235294117643,1.3940886699507389
1.7095588235294115,1.5911330049261085,1.6544117647058825,1.6059113300492611,1.5330882352941175,1.5960591133004924
1.7573529411764703,1.7980295566502464,1.7095588235294115,1.7980295566502464,1.6727941176470587,1.8029556650246308
1.827205882352941,2.0049261083743843,1.8566176470588236,1.9901477832512318,1.9227941176470587,2.497536945812808
1.9485294117647058,2.492610837438424,1.963235294117647,2.497536945812808,2.0183823529411757,2.9950738916256157
2.0330882352941178,2.9901477832512318,2.077205882352941,2.9950738916256157,2.139705882352941,3.4926108374384235
2.117647058823529,3.4827586206896552,2.165441176470588,3.4926108374384235,2.2169117647058822,3.9852216748768474
2.172794117647058,3.9950738916256157,2.2242647058823533,3.9852216748768474,1.827205882352941,2
